periodo,hora,mean,std
Confinamiento estricto,0,1.9822909111372333,4.511167063391663
Confinamiento estricto,1,1.5041279793433262,4.397208379880978
Confinamiento estricto,2,1.3280483169603314,4.336243030916461
Confinamiento estricto,3,1.2542539624703954,4.271523960949189
Confinamiento estricto,4,1.2734859649441288,4.285571429924187
Confinamiento estricto,5,1.628564450143494,4.29760143809518
Confinamiento estricto,6,3.9646215326751295,6.453045227885124
Confinamiento estricto,7,6.914333974757889,8.68185935222649
Confinamiento estricto,8,7.807427504276807,8.644959592178125
Confinamiento estricto,9,7.397944098167722,7.5784152368904465
Confinamiento estricto,10,7.361220893851069,7.168206075219228
Confinamiento estricto,11,7.639025076217119,7.241991046956941
Confinamiento estricto,12,7.945702766041901,7.364858928983287
Confinamiento estricto,13,8.291622036913287,7.687459342483764
Confinamiento estricto,14,9.677250184485827,9.21639997737578
Confinamiento estricto,15,9.374773505682453,9.639303556425796
Confinamiento estricto,16,6.505111024531541,6.77951235415381
Confinamiento estricto,17,5.818080978449306,6.182261069973451
Confinamiento estricto,18,5.9600798787780365,6.327903210221801
Confinamiento estricto,19,5.572455802497706,5.923345874424596
Confinamiento estricto,20,5.041877503689648,5.629934473253741
Confinamiento estricto,21,4.608724454493525,5.4332455754485425
Confinamiento estricto,22,3.9992029230957717,5.234636263267347
Confinamiento estricto,23,2.924742932813061,4.721998943538119
Nueva normalidad,0,6.671600504147686,7.3103826790954285
Nueva normalidad,1,4.029212974626648,5.720457236997773
Nueva normalidad,2,2.743545260373785,4.9115367790762114
Nueva normalidad,3,2.1171013320484287,4.622967128625993
Nueva normalidad,4,1.9114056047380472,4.470038723569725
Nueva normalidad,5,2.385645666889284,4.675196510062368
Nueva normalidad,6,5.900977747046196,8.562405649342764
Nueva normalidad,7,12.4421301623904,14.189284462487711
Nueva normalidad,8,18.799535772630197,17.99045796732022
Nueva normalidad,9,20.704542567881507,17.87959228819969
Nueva normalidad,10,19.720673297346366,15.384625995015934
Nueva normalidad,11,21.10876913041106,15.467974630144116
Nueva normalidad,12,22.769930963934016,16.170515844145577
Nueva normalidad,13,23.82353826689855,16.854784372072622
Nueva normalidad,14,25.396886112181278,18.40185859740056
Nueva normalidad,15,22.04976555358391,17.552982828084488
Nueva normalidad,16,18.96884523564231,15.506177502810578
Nueva normalidad,17,20.46809823764739,16.232067436576074
Nueva normalidad,18,22.058038699482378,16.912637337323755
Nueva normalidad,19,22.228850452263316,16.609864440824996
Nueva normalidad,20,20.622165846141275,15.377966348630588
Nueva normalidad,21,17.355966183913527,13.394534290566599
Nueva normalidad,22,12.694878929325238,10.597828970051959
Nueva normalidad,23,9.058773856781034,8.320201319088781
Pre-pandemia,0,9.493679153395856,9.187943464453072
Pre-pandemia,1,6.765750293775289,8.132150532633027
Pre-pandemia,2,4.86759033525751,7.041501957748944
Pre-pandemia,3,3.883758570300687,6.308508667476065
Pre-pandemia,4,3.4483839428736243,5.8953448100001
Pre-pandemia,5,3.895743761685875,5.9727849049768755
Pre-pandemia,6,8.003290295108329,10.286155524229017
Pre-pandemia,7,17.310332538855093,17.99534280357419
Pre-pandemia,8,25.652916198975007,22.17324852869125
Pre-pandemia,9,26.928829407628715,21.351250580575126
Pre-pandemia,10,24.09119480745262,17.85541010511838
Pre-pandemia,11,25.041161200403593,17.44170706581828
Pre-pandemia,12,26.67496791477372,17.979276273914408
Pre-pandemia,13,27.810742110704737,18.510657302584672
Pre-pandemia,14,29.77395781626445,19.83084339533601
Pre-pandemia,15,26.857896737687224,19.37545843041188
Pre-pandemia,16,25.186205369828254,18.54054014958682
Pre-pandemia,17,27.747089575761443,19.382764640088254
Pre-pandemia,18,29.602228403329473,20.1162041850678
Pre-pandemia,19,29.70777908773574,19.903326270827222
Pre-pandemia,20,27.536886730880738,18.598196954459997
Pre-pandemia,21,23.521315426390096,16.557009510529547
Pre-pandemia,22,17.259343372235403,13.292155220218815
Pre-pandemia,23,12.20169736042645,10.296078710614648
Primeros casos,0,8.731202163821777,8.999852027679788
Primeros casos,1,6.097266639230798,7.851869608560841
Primeros casos,2,4.47306400663984,6.8442538950525655
Primeros casos,3,3.6845334058188364,6.319036572765946
Primeros casos,4,3.320914978242866,5.931790174440785
Primeros casos,5,3.865614881390125,6.02303976256111
Primeros casos,6,8.251744204544249,10.66251737927862
Primeros casos,7,18.177180566495384,18.50605708877203
Primeros casos,8,26.986751075924268,22.475998164233964
Primeros casos,9,28.238412001153055,21.531215685467387
Primeros casos,10,24.771702310568394,17.965242107233607
Primeros casos,11,25.439177123019668,17.44980204900654
Primeros casos,12,26.95959519099072,17.945447159618485
Primeros casos,13,28.022989516124305,18.480406055532402
Primeros casos,14,30.113184738325394,19.807249461179023
Primeros casos,15,27.07673281842866,19.2430517325254
Primeros casos,16,25.87463658104829,18.59226968537395
Primeros casos,17,28.632915060881988,19.51805626099126
Primeros casos,18,30.341558371465787,20.21108649896263
Primeros casos,19,30.392093205649836,19.974932408638868
Primeros casos,20,27.816139710112004,18.678046491221522
Primeros casos,21,22.73992028877837,16.36769188801572
Primeros casos,22,16.044608307855462,12.753570345687928
Primeros casos,23,11.386982698281567,10.168998524399079
