,periodo,hora,mean,std
0,Pre-pandemia,0,8.868676715674448,8.694327393793088
1,Pre-pandemia,1,6.314605330814211,7.895360306135824
2,Pre-pandemia,2,4.587729264107188,6.941054217710447
3,Pre-pandemia,3,3.703789026038661,6.168745303583865
4,Pre-pandemia,4,3.2955845891243,5.665008642491638
5,Pre-pandemia,5,3.731633324091662,5.681679829698322
6,Pre-pandemia,6,7.878447085684297,10.10145132616572
7,Pre-pandemia,7,17.641050666277266,18.106118380719202
8,Pre-pandemia,8,27.023341808962517,22.674592140903712
9,Pre-pandemia,9,28.545937355482312,21.729640808127147
10,Pre-pandemia,10,24.809594111637452,17.687898947859296
11,Pre-pandemia,11,25.5642350177054,17.126867750992457
12,Pre-pandemia,12,27.252565660287424,17.68184382763474
13,Pre-pandemia,13,28.484730970414454,18.264078015799043
14,Pre-pandemia,14,30.953345136164547,19.806229225479733
15,Pre-pandemia,15,27.648760802360712,19.210891214799798
16,Pre-pandemia,16,26.370190839918745,18.52994161406819
17,Pre-pandemia,17,29.402409006091993,19.42465544904017
18,Pre-pandemia,18,31.122954167774772,20.092543450731277
19,Pre-pandemia,19,31.41509539036922,20.03487351859592
20,Pre-pandemia,20,28.832035634965383,18.740833767536408
21,Pre-pandemia,21,23.802173905100823,16.36427724432523
22,Pre-pandemia,22,16.85233396534355,12.762406154059487
23,Pre-pandemia,23,11.7894851097387,9.885743629710234
